UNIT_MEASURE
PN
FT
_X
LEK
ARS
AUD
BAM
BRL
BGN
CAD
CLP
CNY
COP
CRC
HRK
CZK
DKK
EEK
EUR
HUF
ISK
INR
IDR
ILS
JPY
JOD
KRW
LVL
LTL
MKD
MYR
MXN
NZD
NOK
PHP
PLN
RON
RUB
SAR
SRB
ZAR
LKR
SEK
CHF
THB
TRY
GBP
USD
