TABLE_IDENTIFIER;FREQ;REF_SECTOR;EDU_TYPE;ISC11P_LEVEL;ISC11P_CAT;ISC11P_SUB;GRADE;FIELD;INTENSITY;COUNTRY_ORIGIN;COUNTRY_CITIZENSHIP;SEX;AGE;STAT_UNIT;UNIT_MEASURE
ENRL1A;A;INST_PUB;_T;L0;C1;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;C2;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L1;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L8;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;C1;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;C2;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L1;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C5_SW;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C5_SW;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C5_SW;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L8;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;C1;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;C2;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L1;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L2;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L3;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L4;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L5;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L6;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L7;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L8;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PUB;_T;L0;C1;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L0;C2;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L0;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L1;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L2;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L2;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L2;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L3;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L3;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L3;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L3;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L4;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L4;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L4;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L4;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L5;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L5;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L5;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L5;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L6;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L6;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L6;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L7;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L7;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L7;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PUB;_T;L8;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L0;C1;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;C2;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L1;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L8;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;C1;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;C2;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L1;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5_SW;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5_SW;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5_SW;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L8;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;C1;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;C2;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L1;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L2;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L6;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L7;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L8;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_GOV;_T;L0;C1;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L0;C2;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L0;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L1;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L2;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L2;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L2;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L3;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L3;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L3;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L4;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L4;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L4;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L5;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L5;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L5;C5_SW;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L6;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L6;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L6;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L7;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L7;C4;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L7;C5;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_GOV;_T;L8;_T;_T;_T;_T;_T;W0;W0;M;_T;STU;FTE
ENRL1A;A;INST_PRIV_IND;_T;L0;C1;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L0;C2;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L0;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L1;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L2;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L2;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L2;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L3;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L3;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L3;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L3;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L4;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L4;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L4;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L4;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L5;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L5;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L5;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L5;C5_SW;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L6;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L6;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L6;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L7;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L7;C4;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L7;C5;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L8;_T;_T;_T;_T;FT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L0;C1;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L0;C2;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L0;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L1;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L2;C4;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L2;C5;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
ENRL1A;A;INST_PRIV_IND;_T;L2;_T;_T;_T;_T;PT;W0;W0;M;_T;STU;PER
